tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Biological Sciences,4919,University of Toronto at Scarborough,Michelle,,Aarts,1418527,5,good,TEACHER,PROFESSOR,4.2
English,4919,University of Toronto at Scarborough,Anthony,,Adams,295370,13,good,TEACHER,PROFESSOR,4.5
Management,4919,University of Toronto at Scarborough,Pankaj,,Aggarwal,590745,36,average,TEACHER,PROFESSOR,3.4
Languages,4919,University of Toronto at Scarborough,Kusay,,Ahmad,795773,5,average,TEACHER,PROFESSOR,3.1
Political Science,4919,University of Toronto at Scarborough,Aisha,,Ahmad,1822251,39,average,TEACHER,PROFESSOR,2.5
Computer Science,4919,University of Toronto at Scarborough,Marzieh,,Ahmadzadeh,2259492,47,poor,TEACHER,PROFESSOR,1.6
Economics,4919,University of Toronto at Scarborough,Syed,,Ahmed,738234,26,poor,TEACHER,PROFESSOR,2.4
Sociology,4919,University of Toronto at Scarborough,Katelin,,Albert,2473412,10,good,TEACHER,PROFESSOR,4.3
Management,4919,University of Toronto at Scarborough,Vitali,,Alexeev,1277400,3,average,TEACHER,PROFESSOR,2.7
Human Geography & City Studies,4919,University of Toronto at Scarborough,Ahmed,,Allahwala,1579645,24,good,TEACHER,PROFESSOR,5.0
Business,4919,University of Toronto at Scarborough,Sandro,,Ambuehl,2411846,2,average,TEACHER,PROFESSOR,3.0
Psychology,4919,University of Toronto at Scarborough,Oren,,Amitay,1080811,52,good,TEACHER,PROFESSOR,4.5
Biological Sciences,4919,University of Toronto at Scarborough,Maydianne,,Andrade,347140,67,good,TEACHER,PROFESSOR,4.2
Political Science,4919,University of Toronto at Scarborough,Scott,,Aquanno,1804457,4,good,TEACHER,PROFESSOR,5.0
Mathematics,4919,University of Toronto at Scarborough,Stefanos,,Aretakis,2481597,2,good,TEACHER,PROFESSOR,4.5
Geography,4919,University of Toronto at Scarborough,George,,Arhonditsis,889059,11,good,TEACHER,PROFESSOR,4.4
International Studies,4919,University of Toronto at Scarborough,Jack,,Arn,890770,17,average,TEACHER,PROFESSOR,3.0
Physics,4919,University of Toronto at Scarborough,Pawel,,Artymowicz,1459394,7,good,TEACHER,PROFESSOR,3.9
Social Science,4919,University of Toronto at Scarborough,Abednego,,Aryee,1270757,0,zero,TEACHER,PROFESSOR,N/A
Biological Sciences,4919,University of Toronto at Scarborough,Aarthi,,Ashok,1381851,57,good,TEACHER,PROFESSOR,3.8
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Nnenna,,Asidianya,2476555,4,poor,TEACHER,PROFESSOR,1.2
Computer  Math. Sciences,4919,University of Toronto at Scarborough,Asal,,Aslemand ,2071371,32,good,TEACHER,PROFESSOR,4.2
Humanities,4919,University of Toronto at Scarborough,Maria,,Assif,1175491,41,good,TEACHER,PROFESSOR,4.7
Computer amp Math. Sciences,4919,University of Toronto at Scarborough,Abbas,Mohsin,Attarwala,2364338,3,average,TEACHER,PROFESSOR,2.7
Economics,4919,University of Toronto at Scarborough,Iris,,Au,392067,79,good,TEACHER,PROFESSOR,3.7
Economics,4919,University of Toronto at Scarborough,Igor,,Averbakh,592669,12,good,TEACHER,PROFESSOR,4.4
Humanities,4919,University of Toronto at Scarborough,Daniel,,Bader,1087433,4,good,TEACHER,PROFESSOR,3.8
Psychology,4919,University of Toronto at Scarborough,Michael,,Bagby,1818190,3,good,TEACHER,PROFESSOR,4.3
Humanities,4919,University of Toronto at Scarborough,Ruoyun,,Bai,1786575,2,average,TEACHER,PROFESSOR,3.0
Humanities,4919,University of Toronto at Scarborough,Natalia,,Bakaeva,2527457,3,good,TEACHER,PROFESSOR,4.0
Health Science,4919,University of Toronto at Scarborough,Caroline,,Bakarat-Hadad,1387823,14,average,TEACHER,PROFESSOR,2.9
Physics,4919,University of Toronto at Scarborough,Scott,,Ballantyne,1914959,2,average,TEACHER,PROFESSOR,3.3
Anthropology,4919,University of Toronto at Scarborough,Sandra,,Banford,804526,9,good,TEACHER,PROFESSOR,4.0
Anthropology,4919,University of Toronto at Scarborough,Victor,,Barac,856546,9,average,TEACHER,PROFESSOR,3.3
Health Science,4919,University of Toronto at Scarborough,Caroline,,Barakat,1388499,26,average,TEACHER,PROFESSOR,3.4
Health Science,4919,University of Toronto at Scarborough,Barakat,,Barakat-Haddad.,1680208,4,good,TEACHER,PROFESSOR,3.6
Classics,4919,University of Toronto at Scarborough,Adam,,Barker,2469787,9,good,TEACHER,PROFESSOR,4.8
Psychology,4919,University of Toronto at Scarborough,John,,Bassili,1606026,0,zero,TEACHER,PROFESSOR,N/A
Political Science,4919,University of Toronto at Scarborough,Karlo,,Basta,1416038,1,good,TEACHER,PROFESSOR,5.0
Biological Sciences,4919,University of Toronto at Scarborough,Daman,,Bawa,737031,21,average,TEACHER,PROFESSOR,2.8
Physics,4919,University of Toronto at Scarborough,Johann,,Bayer,787928,34,good,TEACHER,PROFESSOR,4.4
Political Science,4919,University of Toronto at Scarborough,Pauline,,Beange,1821089,7,average,TEACHER,PROFESSOR,2.9
Humanities,4919,University of Toronto at Scarborough,Corinne,,Beauquis,711551,25,good,TEACHER,PROFESSOR,4.7
History,4919,University of Toronto at Scarborough,Camille,,Begin,1763892,4,average,TEACHER,PROFESSOR,2.9
Humanities,4919,University of Toronto at Scarborough,Susana,,Bejar,1154021,4,average,TEACHER,PROFESSOR,3.1
History,4919,University of Toronto at Scarborough,Daniel,,Bender,650097,11,good,TEACHER,PROFESSOR,3.7
History,4919,University of Toronto at Scarborough,Christine,,Berkowitz,1639840,17,good,TEACHER,PROFESSOR,4.7
International Studies,4919,University of Toronto at Scarborough,Albert,,Berry,263770,23,good,TEACHER,PROFESSOR,4.4
Computer Science,4919,University of Toronto at Scarborough,Joe,,Bettridge,2261442,25,average,TEACHER,PROFESSOR,2.9
Humanities,4919,University of Toronto at Scarborough,Robert,,Binnick,260118,23,poor,TEACHER,PROFESSOR,2.1
International Studies,4919,University of Toronto at Scarborough,Anne-Emanuelle,,Birn,583689,11,average,TEACHER,PROFESSOR,3.0
Classics,4919,University of Toronto at Scarborough,Katherine,,Blouin,1713622,8,good,TEACHER,PROFESSOR,4.2
Anthropology,4919,University of Toronto at Scarborough,Janice,,Boddy,394124,7,good,TEACHER,PROFESSOR,4.2
Humanities,4919,University of Toronto at Scarborough,Christine,,Bolus-Reichert,370438,20,good,TEACHER,PROFESSOR,4.3
Biological Sciences,4919,University of Toronto at Scarborough,Cynthia,Lee,Bongard,2280992,0,zero,TEACHER,PROFESSOR,N/A
Ecology,4919,University of Toronto at Scarborough,Rudy,,Boonstra,1486474,3,good,TEACHER,PROFESSOR,3.5
Management,4919,University of Toronto at Scarborough,Sandford,,Borins,1555564,4,good,TEACHER,PROFESSOR,4.5
Psychology,4919,University of Toronto at Scarborough,Douglas,,Bors,327723,64,average,TEACHER,PROFESSOR,2.5
Psychology,4919,University of Toronto at Scarborough,Connie,,Boudens,1417576,32,poor,TEACHER,PROFESSOR,2.4
Management,4919,University of Toronto at Scarborough,Chris,,Bovaird,253764,195,average,TEACHER,PROFESSOR,3.3
Music,4919,University of Toronto at Scarborough,William,,Bowen,1808143,5,poor,TEACHER,PROFESSOR,2.0
Philosophy,4919,University of Toronto at Scarborough,Kenneth,,Boyd,2487539,0,zero,TEACHER,PROFESSOR,N/A
Psychology,4919,University of Toronto at Scarborough,Kosha,,Bramesfeld,2469433,6,average,TEACHER,PROFESSOR,3.0
Philosophy,4919,University of Toronto at Scarborough,Joshua,,Brandt,2291956,11,good,TEACHER,PROFESSOR,4.5
Biological Sciences,4919,University of Toronto at Scarborough,Vania,,Branker,1348313,2,average,TEACHER,PROFESSOR,3.0
Geography,4919,University of Toronto at Scarborough,Glenn,,Brauen,2237939,5,average,TEACHER,PROFESSOR,3.4
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Anna,,Bretscher,853756,36,poor,TEACHER,PROFESSOR,2.4
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Natalia,,Breuss,339665,61,average,TEACHER,PROFESSOR,3.3
Humanities,4919,University of Toronto at Scarborough,Yael,,Brotman,520194,6,good,TEACHER,PROFESSOR,3.9
Humanities,4919,University of Toronto at Scarborough,Russell,,Brown,271590,19,good,TEACHER,PROFESSOR,3.9
Biological Sciences,4919,University of Toronto at Scarborough,Ian,,Brown,495877,30,average,TEACHER,PROFESSOR,3.3
Anthropology,4919,University of Toronto at Scarborough,Hilary,,Brown,2172966,9,good,TEACHER,PROFESSOR,3.7
Biological Sciences,4919,University of Toronto at Scarborough,Jason,,Brown,1859751,71,good,TEACHER,PROFESSOR,4.7
Philosophy,4919,University of Toronto at Scarborough,Anthony,,Bruno,2029964,7,good,TEACHER,PROFESSOR,3.9
Biological Sciences,4919,University of Toronto at Scarborough,Shelley A.,,Brunt,451006,50,average,TEACHER,PROFESSOR,3.2
Science,4919,University of Toronto at Scarborough,Shelly,,Brunt,2402474,1,poor,TEACHER,PROFESSOR,1.0
Health Science,4919,University of Toronto at Scarborough,Toba,,Bryant,1418636,7,good,TEACHER,PROFESSOR,3.6
Philosophy,4919,University of Toronto at Scarborough,Rachel,,Bryant,2575188,0,zero,TEACHER,PROFESSOR,N/A
Geography,4919,University of Toronto at Scarborough,Michelle,,Buckley,1791595,16,good,TEACHER,PROFESSOR,4.3
Geography,4919,University of Toronto at Scarborough,Michael,,Bunce,257714,25,good,TEACHER,PROFESSOR,3.6
Social Science,4919,University of Toronto at Scarborough,Susannah,,Bunce,2503315,0,zero,TEACHER,PROFESSOR,N/A
Geography,4919,University of Toronto at Scarborough,Susannah,,Bunce,1279931,3,average,TEACHER,PROFESSOR,3.1
Journalism,4919,University of Toronto at Scarborough,Kenzie,,Burchell,2220412,4,average,TEACHER,PROFESSOR,3.0
Philosophy,4919,University of Toronto at Scarborough,Victoria,,Burke,1278556,3,good,TEACHER,PROFESSOR,4.2
Statistics,4919,University of Toronto at Scarborough,Ken,,Butler,269924,21,good,TEACHER,PROFESSOR,4.1
Biological Sciences,4919,University of Toronto at Scarborough,Marc,,Cadotte,1461055,17,good,TEACHER,PROFESSOR,4.1
History,4919,University of Toronto at Scarborough,Ralph,,Callebert,2480675,1,good,TEACHER,PROFESSOR,5.0
Humanities,4919,University of Toronto at Scarborough,Robert,,Campbell,256674,47,good,TEACHER,PROFESSOR,4.6
Economics,4919,University of Toronto at Scarborough,James,,Campbell,1812851,8,average,TEACHER,PROFESSOR,3.4
Biological Sciences,4919,University of Toronto at Scarborough,Jennifer,,Campbell,2384621,0,zero,TEACHER,PROFESSOR,N/A
Psychology,4919,University of Toronto at Scarborough,Zachariah,,Campbell,797910,142,good,TEACHER,PROFESSOR,3.5
Economics,4919,University of Toronto at Scarborough,Michele,,Campolieti,547275,6,good,TEACHER,PROFESSOR,3.7
Psychology,4919,University of Toronto at Scarborough,Jonathan,,Cant,1817806,3,good,TEACHER,PROFESSOR,4.2
Humanities,4919,University of Toronto at Scarborough,Lora,,Carney,372455,8,good,TEACHER,PROFESSOR,3.6
Philosophy,4919,University of Toronto at Scarborough,Elliot,,Carter,2548913,1,poor,TEACHER,PROFESSOR,1.0
Education,4919,University of Toronto at Scarborough,Rose,,Caruso,1313336,3,good,TEACHER,PROFESSOR,5.0
Political Science,4919,University of Toronto at Scarborough,David,,Carvounas,285316,23,good,TEACHER,PROFESSOR,3.8
Management,4919,University of Toronto at Scarborough,Ling,,Cen,1675594,3,good,TEACHER,PROFESSOR,3.8
Accounting,4919,University of Toronto at Scarborough,David,,Chan,1255461,3,poor,TEACHER,PROFESSOR,2.2
International Studies,4919,University of Toronto at Scarborough,Leslie,,Chan,300077,32,good,TEACHER,PROFESSOR,3.5
Management,4919,University of Toronto at Scarborough,Cindy,,Chan,2027032,5,good,TEACHER,PROFESSOR,3.8
Business,4919,University of Toronto at Scarborough,Ambarish,,Chandra,2516334,2,poor,TEACHER,PROFESSOR,1.5
Chemistry,4919,University of Toronto at Scarborough,Savitri,,Chandrasekhar,256798,106,good,TEACHER,PROFESSOR,3.7
Health Science,4919,University of Toronto at Scarborough,Andrea,,Charise,1919518,12,average,TEACHER,PROFESSOR,3.1
Management,4919,University of Toronto at Scarborough,Derek,,Chau,890605,18,average,TEACHER,PROFESSOR,3.0
Health Science,4919,University of Toronto at Scarborough,Tran,,Chau ,2080225,2,poor,TEACHER,PROFESSOR,1.0
Management,4919,University of Toronto at Scarborough,Liang,,Chen,458853,38,good,TEACHER,PROFESSOR,3.6
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Nick,,Cheng,382132,82,average,TEACHER,PROFESSOR,3.2
Humanities,4919,University of Toronto at Scarborough,Schelomie,,Cherette,1682770,0,zero,TEACHER,PROFESSOR,N/A
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Jason,,Cheung,2341162,0,zero,TEACHER,PROFESSOR,N/A
Humanities,4919,University of Toronto at Scarborough,Eric,,Chevrette,2577169,0,zero,TEACHER,PROFESSOR,N/A
Sociology,4919,University of Toronto at Scarborough,Clayton,,Childress,2237341,1,good,TEACHER,PROFESSOR,4.0
International Studies,4919,University of Toronto at Scarborough,Maliha,,Chishti,1542631,3,good,TEACHER,PROFESSOR,4.7
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Sophie,,Chrysostomou,1121711,52,average,TEACHER,PROFESSOR,3.3
Sociology,4919,University of Toronto at Scarborough,Jennifer,Jihye,Chun,2366111,1,good,TEACHER,PROFESSOR,5.0
Psychology,4919,University of Toronto at Scarborough,Laura,,Cirelli,2389255,8,good,TEACHER,PROFESSOR,3.9
Humanities,4919,University of Toronto at Scarborough,Mark,,Clamen,349089,13,average,TEACHER,PROFESSOR,3.4
Music,4919,University of Toronto at Scarborough,Caryl,,Clark,258969,18,poor,TEACHER,PROFESSOR,2.4
Fine Arts,4919,University of Toronto at Scarborough,Joshua,,Cleminson,2312545,3,good,TEACHER,PROFESSOR,5.0
Economics,4919,University of Toronto at Scarborough,Gordon,,Cleveland,257200,61,good,TEACHER,PROFESSOR,4.0
Political Science,4919,University of Toronto at Scarborough,Christopher,,Cochrane,1659146,21,good,TEACHER,PROFESSOR,4.0
Anthropology,4919,University of Toronto at Scarborough,Saul,,Cohen,1030916,8,good,TEACHER,PROFESSOR,3.8
Management,4919,University of Toronto at Scarborough,Brian,,Connelly,1661955,3,average,TEACHER,PROFESSOR,2.5
Management,4919,University of Toronto at Scarborough,P,,Constantino,457269,5,poor,TEACHER,PROFESSOR,2.3
Economics,4919,University of Toronto at Scarborough,T,,Cook,590750,13,good,TEACHER,PROFESSOR,4.3
Humanities,4919,University of Toronto at Scarborough,Kate,,Cooper,1986370,6,good,TEACHER,PROFESSOR,4.0
Psychology,4919,University of Toronto at Scarborough,Andrew,,Cooper,2270574,5,good,TEACHER,PROFESSOR,4.8
Computer Science,4919,University of Toronto at Scarborough,Eric,,Corlett,2504964,5,average,TEACHER,PROFESSOR,3.4
Languages,4919,University of Toronto at Scarborough,Stephanie,,Cote,2559350,1,poor,TEACHER,PROFESSOR,2.0
Fine Arts,4919,University of Toronto at Scarborough,T.L,,Cowan,2265726,3,good,TEACHER,PROFESSOR,4.7
Psychology,4919,University of Toronto at Scarborough,George,,Cree,339974,26,good,TEACHER,PROFESSOR,4.3
Geography,4919,University of Toronto at Scarborough,Ches,,Cristian,2515694,2,good,TEACHER,PROFESSOR,5.0
English,4919,University of Toronto at Scarborough,Melba,,Cuddy Keane,1519655,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,4919,University of Toronto at Scarborough,Maggie,,Cummings,948297,28,good,TEACHER,PROFESSOR,4.6
Art History,4919,University of Toronto at Scarborough,Jody,,Cundy,2014584,6,good,TEACHER,PROFESSOR,4.2
Psychology,4919,University of Toronto at Scarborough,Gerald,,Cupchik,2151826,1,average,TEACHER,PROFESSOR,3.0
Psychology,4919,University of Toronto at Scarborough,G,,Cupchik,327722,67,average,TEACHER,PROFESSOR,2.7
Classics,4919,University of Toronto at Scarborough,Alex,,Cushing,2225016,2,poor,TEACHER,PROFESSOR,2.0
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Stefan,,Czimek,2333554,5,good,TEACHER,PROFESSOR,4.4
Education,4919,University of Toronto at Scarborough,Lisa,,Dack,1893668,1,good,TEACHER,PROFESSOR,3.5
Accounting,4919,University of Toronto at Scarborough,Sandra,,Daga,2435924,3,average,TEACHER,PROFESSOR,3.3
Anthropology,4919,University of Toronto at Scarborough,Shayne,,Dahl,2305953,1,good,TEACHER,PROFESSOR,4.0
Anthropology,4919,University of Toronto at Scarborough,Bianca,,Dahl,1868943,20,good,TEACHER,PROFESSOR,4.7
Chemistry,4919,University of Toronto at Scarborough,Shadi,,Dalili,931947,39,good,TEACHER,PROFESSOR,4.0
Mathematics,4919,University of Toronto at Scarborough,Sotirios,,Damouras,1955654,15,average,TEACHER,PROFESSOR,3.0
Psychology,4919,University of Toronto at Scarborough,Kyle,,Danielson,2335748,16,good,TEACHER,PROFESSOR,4.1
Psychology,4919,University of Toronto at Scarborough,Alexander,,Daros,2464678,3,good,TEACHER,PROFESSOR,4.0
Anthropology,4919,University of Toronto at Scarborough,Girish,,Daswani,1213688,15,average,TEACHER,PROFESSOR,3.0
Anthropology,4919,University of Toronto at Scarborough,Lisa,,Davidson,2349260,0,zero,TEACHER,PROFESSOR,N/A
Environmental Science,4919,University of Toronto at Scarborough,Heidi,,Daxberger,2090054,6,good,TEACHER,PROFESSOR,4.9
American Studies & Ethnicity,4919,University of Toronto at Scarborough,Adrian,,De Leon,2501437,1,good,TEACHER,PROFESSOR,5.0
Biological Sciences,4919,University of Toronto at Scarborough,Paul,,De Luca,1227669,3,good,TEACHER,PROFESSOR,5.0
Philosophy,4919,University of Toronto at Scarborough,Ronnie,,De Sousa,1600735,2,poor,TEACHER,PROFESSOR,2.2
Mathematics,4919,University of Toronto at Scarborough,Louis,,De Thanhoffer,2043430,38,average,TEACHER,PROFESSOR,3.2
Psychology,4919,University of Toronto at Scarborough,Jessica,,Dere,1876882,19,good,TEACHER,PROFESSOR,4.0
Management,4919,University of Toronto at Scarborough,Tarun,,Dewan,1631051,20,average,TEACHER,PROFESSOR,2.8
Anthropology,4919,University of Toronto at Scarborough,Genevieve,,Dewar,1381845,20,average,TEACHER,PROFESSOR,3.4
Chemistry,4919,University of Toronto at Scarborough,Marco,,Dezimmer,2530470,0,zero,TEACHER,PROFESSOR,N/A
Psychology,4919,University of Toronto at Scarborough,Sonya,,Dhillon,2549057,1,good,TEACHER,PROFESSOR,5.0
Psychology,4919,University of Toronto at Scarborough,Stefano ,I.,Di Domenico,2020177,2,good,TEACHER,PROFESSOR,3.5
Philosophy,4919,University of Toronto at Scarborough,Christopher,,DiCarlo,2114723,3,good,TEACHER,PROFESSOR,4.7
Political Science,4919,University of Toronto at Scarborough,Jordi,,Diez-Mendez,359699,7,average,TEACHER,PROFESSOR,3.1
History,4919,University of Toronto at Scarborough,Husseina,,Dinani,2245486,2,poor,TEACHER,PROFESSOR,2.0
Psychology,4919,University of Toronto at Scarborough,Le-Anh,,Dinh-Williams,2549060,1,poor,TEACHER,PROFESSOR,2.0
Psychology,4919,University of Toronto at Scarborough,Karen,,Dion,1825486,2,good,TEACHER,PROFESSOR,4.5
Science,4919,University of Toronto at Scarborough,Maria,,Dittrich,1613967,2,average,TEACHER,PROFESSOR,2.8
Humanities,4919,University of Toronto at Scarborough,Neal,,Dolan,295150,50,good,TEACHER,PROFESSOR,4.0
Chemistry,4919,University of Toronto at Scarborough,Jamie,,Donaldson,320814,46,average,TEACHER,PROFESSOR,2.8
Anthropology,4919,University of Toronto at Scarborough,Steven,,Dorland,2237465,4,average,TEACHER,PROFESSOR,2.5
Geology,4919,University of Toronto at Scarborough,Mike,,Doughty,419491,4,good,TEACHER,PROFESSOR,3.6
History,4919,University of Toronto at Scarborough,Wayne,,Dowler,257236,18,good,TEACHER,PROFESSOR,4.4
Anthropology,4919,University of Toronto at Scarborough,L.,E.,Doyle,1975054,1,poor,TEACHER,PROFESSOR,1.0
Religion,4919,University of Toronto at Scarborough,A.,,Drodge,1238270,3,average,TEACHER,PROFESSOR,2.8
Humanities,4919,University of Toronto at Scarborough,Arthur.J.,,Droge,1078134,10,good,TEACHER,PROFESSOR,4.3
Linguistics,4919,University of Toronto at Scarborough,Vedran,,Dronjic,1103143,1,good,TEACHER,PROFESSOR,5.0
Humanities,4919,University of Toronto at Scarborough,Andrew,,DuBois,474206,37,good,TEACHER,PROFESSOR,4.3
Science,4919,University of Toronto at Scarborough,Steve,,Duffy,926760,5,good,TEACHER,PROFESSOR,3.9
Psychology,4919,University of Toronto at Scarborough,Kevin,,Dunbar,1242546,2,good,TEACHER,PROFESSOR,4.2
Health Science,4919,University of Toronto at Scarborough,Kirsty,,Duncan,896966,29,good,TEACHER,PROFESSOR,3.9
History,4919,University of Toronto at Scarborough,Edward,,Dunsworth,2461951,1,good,TEACHER,PROFESSOR,5.0
Humanities,4919,University of Toronto at Scarborough,Sudharshan,,Duraiyappah,764510,21,good,TEACHER,PROFESSOR,4.0
Theater,4919,University of Toronto at Scarborough,Scott,,Dutrisac,1566281,2,good,TEACHER,PROFESSOR,4.5
Journalism,4919,University of Toronto at Scarborough,Jeffrey,,Dvorkin,2402209,5,average,TEACHER,PROFESSOR,3.2
Psychology,4919,University of Toronto at Scarborough,Crystal,,Dykstra,1418129,1,poor,TEACHER,PROFESSOR,2.0
Management,4919,University of Toronto at Scarborough,Esther,,Eiling,1264526,4,good,TEACHER,PROFESSOR,4.2
Geography,4919,University of Toronto at Scarborough,Michael,,Ekers,1781643,22,good,TEACHER,PROFESSOR,4.5
Humanities,4919,University of Toronto at Scarborough,Modris,,Eksteins,256591,33,good,TEACHER,PROFESSOR,4.2
Sociology,4919,University of Toronto at Scarborough,Emine,Fidan,Elcioglu,2428949,0,zero,TEACHER,PROFESSOR,N/A
Philosophy,4919,University of Toronto at Scarborough,Kelin,,Emmett,1796153,23,average,TEACHER,PROFESSOR,3.5
Languages,4919,University of Toronto at Scarborough,Jerry,,English,1922241,2,good,TEACHER,PROFESSOR,4.0
Humanities,4919,University of Toronto at Scarborough,Jeri,,English,950230,22,good,TEACHER,PROFESSOR,4.3
Psychology,4919,University of Toronto at Scarborough,Suzanne,,Erb,327721,17,good,TEACHER,PROFESSOR,4.0
Computer Science,4919,University of Toronto at Scarborough,Francisco,,Estrada,1652505,28,good,TEACHER,PROFESSOR,3.5
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Michael,,Evans,267199,41,average,TEACHER,PROFESSOR,2.5
Environmental Science,4919,University of Toronto at Scarborough,Nick,,Eyles,289231,51,good,TEACHER,PROFESSOR,3.6
Health Science,4919,University of Toronto at Scarborough,Obidimma,,Ezezika,2333929,11,good,TEACHER,PROFESSOR,4.5
Languages,4919,University of Toronto at Scarborough,Connie,,Fang,1536347,1,good,TEACHER,PROFESSOR,4.0
Chemistry,4919,University of Toronto at Scarborough,Farkhondeh,,Fathi,1921945,49,good,TEACHER,PROFESSOR,4.0
Health Science,4919,University of Toronto at Scarborough,Ghazal,,Fazli,2406504,8,good,TEACHER,PROFESSOR,4.7
Science,4919,University of Toronto at Scarborough,Adam,,Fenech,1613979,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,4919,University of Toronto at Scarborough,Pejman,,Ferdowsian,577753,9,good,TEACHER,PROFESSOR,4.3
Classics,4919,University of Toronto at Scarborough,Jonathan,,Ferguson,1489083,3,average,TEACHER,PROFESSOR,3.2
Art History,4919,University of Toronto at Scarborough,Leanne,,Fetterley,1369721,2,good,TEACHER,PROFESSOR,3.8
Psychology,4919,University of Toronto at Scarborough,Lisa,,Fiksenbaum,2106204,30,poor,TEACHER,PROFESSOR,1.7
Humanities,4919,University of Toronto at Scarborough,Lisa,,Fiorindi,1175496,2,average,TEACHER,PROFESSOR,3.2
Biological Sciences,4919,University of Toronto at Scarborough,Mark,,Fitzpatrick,1480227,17,good,TEACHER,PROFESSOR,3.5
Computer & Math. Sciences,4919,University of Toronto at Scarborough,David,,Fleet,2412426,0,zero,TEACHER,PROFESSOR,N/A
Classics,4919,University of Toronto at Scarborough,Emily,,Fletcher,1421938,1,good,TEACHER,PROFESSOR,4.0
Human Geography  City Studies,4919,University of Toronto at Scarborough,Alexandra,,Flynn,2201963,4,good,TEACHER,PROFESSOR,4.5
Anthropology,4919,University of Toronto at Scarborough,Jude,,Fokwang,928888,4,average,TEACHER,PROFESSOR,2.8
Psychology,4919,University of Toronto at Scarborough,Brett,Quaid,Ford,2389366,2,good,TEACHER,PROFESSOR,4.5
Biological Sciences,4919,University of Toronto at Scarborough,Joan,,Forder,1016354,6,good,TEACHER,PROFESSOR,4.5
English,4919,University of Toronto at Scarborough,Sarah,,Fornace,1252822,0,zero,TEACHER,PROFESSOR,N/A
Philosophy,4919,University of Toronto at Scarborough,Mark,,Fortney,2274731,3,good,TEACHER,PROFESSOR,4.3
Women's Studies,4919,University of Toronto at Scarborough,Emily,,Fountas,1273147,4,good,TEACHER,PROFESSOR,4.4
Psychology,4919,University of Toronto at Scarborough,Marc A,,Fournier,339976,93,good,TEACHER,PROFESSOR,4.2
Economics,4919,University of Toronto at Scarborough,April,M.,Franco,1770590,11,poor,TEACHER,PROFESSOR,1.5
Chemistry,4919,University of Toronto at Scarborough,Simon,,Fraser,510566,4,good,TEACHER,PROFESSOR,4.8
Economics,4919,University of Toronto at Scarborough,Garth,,Frazer,476322,10,good,TEACHER,PROFESSOR,3.8
Theater,4919,University of Toronto at Scarborough,Barry,,Freeman,1303631,6,good,TEACHER,PROFESSOR,4.8
Computer & Math. Sciences,4919,University of Toronto at Scarborough,John,,Friedlander,819333,4,average,TEACHER,PROFESSOR,2.8
Humanities,4919,University of Toronto at Scarborough,Bill,,Friesen,378752,13,good,TEACHER,PROFESSOR,4.4
Political Science,4919,University of Toronto at Scarborough,Diana,,FU,1874135,9,average,TEACHER,PROFESSOR,2.8
Biological Sciences,4919,University of Toronto at Scarborough,Roberta,,Fulthorpe,794506,4,average,TEACHER,PROFESSOR,3.1
Management,4919,University of Toronto at Scarborough,G.Quan,,Fun,1751427,0,zero,TEACHER,PROFESSOR,N/A
Economics,4919,University of Toronto at Scarborough,Kieran,,Furlong,389883,39,average,TEACHER,PROFESSOR,3.1
Biological Sciences,4919,University of Toronto at Scarborough,Marie,,Gadziola,2372197,8,good,TEACHER,PROFESSOR,3.9
English,4919,University of Toronto at Scarborough,Ann,,Gagné,2155251,1,good,TEACHER,PROFESSOR,5.0
Economics,4919,University of Toronto at Scarborough,Gregory,,Gagnon,1786790,1,poor,TEACHER,PROFESSOR,1.0
Health Science,4919,University of Toronto at Scarborough,Kathleen,,Gamble,1914165,3,poor,TEACHER,PROFESSOR,2.3
English,4919,University of Toronto at Scarborough,Kara,,Gaston,2024560,6,good,TEACHER,PROFESSOR,4.7
Biological Sciences,4919,University of Toronto at Scarborough,Sonia,,Gazzarini,817546,8,average,TEACHER,PROFESSOR,3.1
Humanities,4919,University of Toronto at Scarborough,Michael,,Gervers,482002,12,good,TEACHER,PROFESSOR,3.8
Mathematics,4919,University of Toronto at Scarborough,Panagiotis,,Gianniotis,2368060,2,average,TEACHER,PROFESSOR,2.5
Anthropology,4919,University of Toronto at Scarborough,Kevin,,Gibbs,1033468,3,good,TEACHER,PROFESSOR,3.8
Political Science,4919,University of Toronto at Scarborough,Holly,,Gibbs,1097476,19,average,TEACHER,PROFESSOR,3.2
Anthropology,4919,University of Toronto at Scarborough,Gillian,,Gillison,1707766,3,poor,TEACHER,PROFESSOR,1.8
Chemistry,4919,University of Toronto at Scarborough,John,,Glover,1834705,1,good,TEACHER,PROFESSOR,5.0
